id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb59d812058a46550354a962324649,https://www.airbnb.es/rooms/23817314,-5.986,37.389,2018-05-25 13:17:22.583000,2018-06-01 23:16:21.793000,airbnb111692752,entire_home,0,7,0,1,138
airbnb59d812058a46550354a962324650,https://www.airbnb.es/rooms/27990742,-5.985969660740468,37.3889374105801,2018-08-28 03:21:57.830000,2018-09-25 00:08:44.742000,airbnb211408552,entire_home,0,2,0,1,
airbnb59d812058a46550354a962324651,https://www.airbnb.es/rooms/22623057,-5.985825126195698,37.38892815720403,2018-05-25 13:16:41.110000,2018-09-25 00:05:34.321000,airbnb51048225,entire_home,0,2,30,2,
airbnb59d812058a46550354a962324652,https://www.airbnb.es/rooms/2029115,-5.985676047070129,37.38910423414111,2017-08-14 16:15:47.060000,2018-09-25 00:05:26.166000,airbnb10421445,entire_home,0,2,285,2,
airbnb59d812058a46550354a962324653,https://www.airbnb.es/rooms/2856497,-5.985679925014699,37.38906851314498,2017-08-14 16:15:47.060000,2017-10-01 14:10:29.491000,airbnb3079982,entire_home,1,4,109,2,64
airbnb59d812058a46550354a962324654,https://www.airbnb.es/rooms/18068702,-5.985650164125214,37.38920281812215,2017-08-14 16:15:47.060000,2018-09-25 00:06:08.857000,airbnb7947968,entire_home,2,6,4,2,
airbnb59d812058a46550354a962324655,https://www.airbnb.es/rooms/26562003,-5.985891078440199,37.38905747190626,2018-08-28 03:21:57.830000,2018-09-25 00:09:42.028000,airbnb199733714,entire_home,3,5,1,2,
airbnb59d812058a46550354a962324656,https://www.airbnb.es/rooms/17261788,-5.98545033603723,37.38952210709591,2017-08-14 16:16:04.094000,2018-09-25 00:13:32.104000,airbnb89331773,entire_home,2,4,14,3,
airbnb59d812058a46550354a962324657,https://www.airbnb.es/rooms/25861822,-5.985443416193511,37.389453282742956,2018-08-28 03:22:06.433000,2018-09-25 02:04:37.711000,airbnb111692752,entire_home,0,7,0,1,
airbnb59d812058a46550354a962324658,https://www.airbnb.es/rooms/20740756,-5.985341380500485,37.389553227675336,2018-05-05 16:31:59.047000,2018-09-25 00:11:24.502000,airbnb32494354,entire_home,2,4,29,3,
